Module_Name,Module_Description,Activity_Name,Parent_Activity_Name,Activity_Description,Activity_Type,Day,StartTime,EndTime,StartDate,WeekLabel,WeekPattern,Location,Location_Description
ACST4032_S2,Actuarial Control Cycle A2,ACST8041_S2^ACST4032_S2 Lecture01/ 001 ,ACST4032_S2 Lecture01/ 001,Lecture,Lecture,Monday,12:00,14:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
ACST4032_S2,Actuarial Control Cycle A2,ACST8041_S2^ACST4032_S2 Lecture02/ 001 ,ACST4032_S2 Lecture02/ 001,Lecture,Lecture,Wednesday,12:00,14:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
ACST4033_S2,Actuarial Control Cycle B,"ACST8033_S2^ACST4033_S2 Lecture01/ 001 <29-34, 38, 40, 42-43>",ACST4033_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,11:00,07/21/2015,"29-34, 38, 40, 42-43",0000000000000000000000000000111111000101011000000000,ENGN T,_Engineering Theatre
ACST4033_S2,Actuarial Control Cycle B,"ACST8033_S2^ACST4033_S2 Lecture01/ 001 <35, 39, 41>",ACST4033_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,12:00,09/01/2015,"35, 39, 41",0000000000000000000000000000000000100010100000000000,Gould 113,_Gould 113 Mac Lab
ACST4033_S2,Actuarial Control Cycle B,ACST8033_S2^ACST4033_S2 Lecture02/ 001 ,ACST4033_S2 Lecture02/ 001,Lecture,Lecture,Thursday,10:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,SRES T,_SRES Theatre
ACST8033_S2,Control Cycle B,"ACST8033_S2^ACST4033_S2 Lecture01/ 001 <29-34, 38, 40, 42-43>",ACST8033_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,11:00,07/21/2015,"29-34, 38, 40, 42-43",0000000000000000000000000000111111000101011000000000,ENGN T,_Engineering Theatre
ACST8033_S2,Control Cycle B,"ACST8033_S2^ACST4033_S2 Lecture01/ 001 <35, 39, 41>",ACST8033_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,12:00,09/01/2015,"35, 39, 41",0000000000000000000000000000000000100010100000000000,Gould 113,_Gould 113 Mac Lab
ACST8033_S2,Control Cycle B,ACST8033_S2^ACST4033_S2 Lecture02/ 001 ,ACST8033_S2 Lecture02/ 001,Lecture,Lecture,Thursday,10:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,SRES T,_SRES Theatre
ACST8041_S2,Control Cycle A2,ACST8041_S2^ACST4032_S2 Lecture01/ 001 ,ACST8041_S2 Lecture01/ 001,Lecture,Lecture,Monday,12:00,14:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
ACST8041_S2,Control Cycle A2,ACST8041_S2^ACST4032_S2 Lecture02/ 001 ,ACST8041_S2 Lecture02/ 001,Lecture,Lecture,Wednesday,12:00,14:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
